region,date,lwe_cm
Oum Er-Rbia (Al Massira),2012-03-16,2.547
Oum Er-Rbia (Al Massira),2012-04-04,2.295
Oum Er-Rbia (Al Massira),2012-06-16,0.495
Oum Er-Rbia (Al Massira),2012-07-16,-0.108
Oum Er-Rbia (Al Massira),2012-08-16,-0.38
Oum Er-Rbia (Al Massira),2012-09-13,0.09
Oum Er-Rbia (Al Massira),2012-11-18,11.261
Oum Er-Rbia (Al Massira),2012-12-16,6.966
Oum Er-Rbia (Al Massira),2013-01-16,5.054
Oum Er-Rbia (Al Massira),2013-02-14,3.327
Oum Er-Rbia (Al Massira),2013-04-21,3.099
Oum Er-Rbia (Al Massira),2013-05-16,3.605
Oum Er-Rbia (Al Massira),2013-06-16,2.804
Oum Er-Rbia (Al Massira),2013-07-16,1.563
Oum Er-Rbia (Al Massira),2013-10-16,0.9
Oum Er-Rbia (Al Massira),2013-11-16,0.463
Oum Er-Rbia (Al Massira),2013-12-16,1.463
Oum Er-Rbia (Al Massira),2014-01-09,2.317
Oum Er-Rbia (Al Massira),2014-03-17,2.296
Oum Er-Rbia (Al Massira),2014-04-16,1.601
Oum Er-Rbia (Al Massira),2014-05-16,0.321
Oum Er-Rbia (Al Massira),2014-06-13,1.228
Oum Er-Rbia (Al Massira),2014-08-16,-1.464
Oum Er-Rbia (Al Massira),2014-09-16,-0.015
Oum Er-Rbia (Al Massira),2014-10-16,-0.016
Oum Er-Rbia (Al Massira),2014-11-16,1.693
Oum Er-Rbia (Al Massira),2015-01-22,4.519
Oum Er-Rbia (Al Massira),2015-02-15,4.811
Oum Er-Rbia (Al Massira),2015-03-16,5.281
Oum Er-Rbia (Al Massira),2015-04-16,8.991
Oum Er-Rbia (Al Massira),2015-04-27,8.052
Oum Er-Rbia (Al Massira),2015-07-15,4.559
Oum Er-Rbia (Al Massira),2015-08-16,0.68
Oum Er-Rbia (Al Massira),2015-09-14,2.098
Oum Er-Rbia (Al Massira),2015-12-23,2.378
Oum Er-Rbia (Al Massira),2016-01-16,0.375
